VWAP at time: 10:00
Symbol  VWAP
--------------
UWN   2.4700
MFINL   25.6000
FXS   102.8700
PSB-W   22.0000
EQRR   41.8000
VCF   13.8000
BKK   14.9300
PAK   9.0100
BFRA   13.3300
CDR-B   24.8200
HE-U   26.4000
BXP-B   24.7000
ESGV   45.8500
TRTY   24.0000
DBEZ   28.2400
JPM-H   25.9900
STAG-C   25.6400
JPM-E   25.6300
USB-P   25.1000
DUKB   24.9200
FXO   29.6800
TIPZ   56.1800
TLH   132.9057
IDEV   51.9600
HTY   6.8710
TAT   1.2700
SAMA   9.6700
BPOPN   25.7100
HEWU   22.1800
CLIX   47.1600
ALGRU   10.3800
NNY   9.4100
ADILW   0.7500
LN   36.1497
NMI   10.5489
JHAA   10.2543
ENTX   4.0625
HAFC   22.3337
TWLVW   0.2290
ITM   47.6500
AC   41.1400
MYI   12.2800
WFC-W   25.3500
GRFS   18.6055
BTT   21.6700
JMU   0.8059
FXD   39.9899
NS-B   20.3000
ISMD   25.4349
DES   26.8682
INFU   3.7300
UAA   20.9514
CBL-E   12.9600
CWB   49.6127
EVI   36.1300
HPI   20.7900
HBANN   25.4100
PDN   29.2900
ATKR   22.1475
ARYAU   10.4800
GYB   20.8625
UDN   21.0300
USRT   49.7800
FTXG   18.8734
GBAB   22.3977
RWL   49.7900
SMTS   1.8400
MUH   13.6500
BKJ   13.3600
EDEN   59.0500
OCUL   3.7760
ZOM   0.9108
USAC   14.8970
GMFL   25.8300
DOL   44.8900
DOO   39.8800
MTDR   19.2157
INS   21.0158
AXS-D   23.4000
ESGRP   25.1508
AFSI-A   7.9988
CHRA   7.2704
QVAL   28.3400
EIV   11.7250
IHG   58.5840
WFC-T   25.7900
ICLN   9.2795
CVCY   19.7554
BANFP   26.4488
OUSA   31.0700
EWK   17.4800
ONCE   43.4341
PHI   25.0352
PFXF   18.7436
AVGR   0.3234
ROUS   29.8900
GLPI   36.7307
OSN   1.8500
ATMP   19.8767
CATC   75.5294
GLOP-C   22.9000
BAC-K   25.4500
PLYA   7.8565
BHK   12.8900
MUFG   5.3105
EQC-D   25.6500
IEIH   24.7300
BSGM   4.3001
IPG   22.5749
NEE-I   23.7100
IYC   193.0500
NGHCP   21.2500
BCRH   6.4600
PS   28.4320
DTW   23.8600
JLS   22.6057
LLL   195.5941
BRG-A   25.3200
WFC-P   23.4400
FTACW   0.7997
EXFO   3.2900
EGY   1.8633
WES   49.2762
STZ.B   169.4800
AVCO   5.5245
IRBO   22.3800
LPG   5.4579
ETON   6.1997
BWX   27.8258
HSBC-A   25.7850
CMU   4.5344
RILYI   24.9400
VKQ   11.7900
PFD   12.9443
PEI-D   18.0425
GLV   10.7500
MPVD   1.1700
ANIP   53.1436
PGF   18.0425
WPP   57.9700
MFDX   23.7000
SBI   8.6200
XPP   65.3008
HYXU   49.0600
MFT   13.1000
EDN   28.3100
NS-C   23.4600
CLNY-I   20.3400
ISG   25.5400
MSFT   104.7020
ALLY-A   26.0925
PEBK   25.7400
AUSE   51.3500
DDD   12.0743
BBT-G   23.9200
BBT-D   25.5100
SZNE   25.2300
NRCG+   0.9977
NTNX   49.9076
BAC-E   21.3400
PSB-Y   21.8500
UGP   15.1935
UZA   24.4929
TMCXW   0.4100
NETS   2.4000
FCT   11.7664
PHIOW   0.0250
JASNW   0.0080
WHLRW   0.0100
LFACW   0.3500
ESXB   7.3914
BRACW   0.2400
AMBCW   9.2500
TDW+   0.5800
OXBRW   0.0121
EFC   16.3193
PGHY   23.0713
BFZ   12.3900
CCBG   23.4618
RJI   5.2278
LXFR   19.8790
COMG   21.2000
ALFA   45.2400
DHDG   21.9600
BSJP   23.4800
SMIN   35.7474
BRACR   0.3225
PML   13.4866
USDP   11.2440
SMDD   10.1500
WCG   274.9206
JPUS   69.2700
HA   29.8291
IMTE   6.2853
USOD   7.3100
VNLA   49.3418
TFI   48.3026
BSCP   19.9950
JPGE   57.7400
SPXL   38.5371
EARN   11.5199
PJH   24.9800
ORG   26.2076
SF-A   25.4725
OHAI   1.1600
NTX   12.7600
C-L*   25.4100
BBF   12.7800
SAL   39.2074
MVF   8.7400
PSA-E   22.1700
MQT   11.8550
JCAP-B   23.5000
APO-A   24.5600
HYB   8.1567
MER-K   25.7600
HSON   1.4300
CAAP   6.9992
SGG   43.5500
LEO   7.6333
ITEQ   34.1450
SFIX   23.2467
GOAT   25.8500
FAN   12.5550
THQ   17.3324
SRT   6.8056
TSRI   5.5800
TAC   5.3319
PFFL   23.5978
JPN   26.1301
NUE   59.8631
MNI   6.2167
SLVP   8.7646
DMAC   3.8438
MHE   11.8900
ETP-D   24.6072
DTLA-   21.0000
ETW   9.6900
VIVO   16.0379
GIS   43.7276
ROBO   35.6455
AGRO   7.1616
SLMBP   64.4500
AGGY   48.6217
RVLT   0.6699
WRB-D   24.4950
PFO   11.2200
INPX   2.1935
HTGM   2.0907
INT   24.4525
BDC-B   71.8600
MTUM   104.5396
ACWF   28.0300
FLY   11.0351
PWC   92.4500
PSK   41.6964
ETR   87.0609
FIF   14.9360
JMT   22.2200
C-J   26.6500
DRW   30.6475
GLO   9.0305
FEYE   17.4243
MGF   4.4700
PRS   24.8914
AWX   2.8000
